MLBCODE,full_name
119809,C.J. Nitkowski
119975,Troy O'Leary
120042,Luis Ordaz
120183,Lance Painter
408475,Alex Pelaez
424926,Dave Pember
120521,Jack Phillips
150260,Kevin Pickford
325392,Scott Podsednik
367944,Brian Reith
121057,Bryan Rekar
132340,John Rocker
121361,Nerio Rodriguez
400073,Oscar Salazar
276343,Victor Santos
121955,Rudy Seanez
150144,Bobby Seay
122012,Scott Service
425126,Jason Shiell
122195,Brian Shouse
122231,Jose Silva
122620,Russ Springer
335992,Jay Spurgeon
122904,Everett Stull
123010,Mac Suzuki
123094,Tony Tarasco
123177,Anthony Telford
342792,Kevin Tolar
279576,Steve Torrealba
150291,Mike Venafro
123700,Quilvio Veras
424485,Barry Wesson
235095,Dan Wheeler
124314,Gerald Williams
124548,Steve Woodard
400095,Erick Almonte
425646,Luis Ayala
408306,Rocco Baldelli
150151,Troy Brohawn
425606,Kiko Calero
112330,Jerald Clark
407873,Steve Colyer
425649,Enrique Cruz
150471,Leo Estrella
425817,Jesse Foppert
425651,Matt Ford
425506,Jody Gerut
425627,Andrew Good
425631,Robby Hammock
407396,Ken Harvey
408058,Gary Johnson
407862,Reed Johnson
116626,Roy Johnson
117044,Brooks Kieschnick
408042,Gerald Laird
117526,Chris Latham
117710,Curt Leskanic
276368,Allen Levrault
425657,Javier Lopez
425686,Hideki Matsui
425660,Jose Morban
119624,Mike Myers
294558,Xavier Nady
150227,Kevin Ohme
425882,Tommy Phelps
400141,Horacio Ramirez
150159,Stephen Randolph
132620,Donnie Sadler
123040,Mark Sweeney
407893,Mark Teixeira
400284,Chase Utley
282567,Claudio Vargas
425664,Shane Victorino
425629,Oscar Villarreal
425630,Brandon Webb
425532,Jerome Williams
425747,Jose Contreras
424505,Reynaldo Garcia
425658,Aquilino Lopez
425528,Seth McClung
407915,Mike Neu
122781,Joe Stewart
121363,Rich Rodriguez
276913,Derrick Turnbow
425450,Rosman Garcia
285063,Erasmo Ramirez
425553,David Sanders
216897,Kyle Snyder
277397,Larry Barnes
150150,Jason Boyd
425626,Chris Capuano
429280,Nate Bland
407577,Andy Abad
110010,Jeff Abbott
110009,Jim Abbott
110011,Kurt Abbott
110025,Shawn Abner
110068,Willie Adams
110069,Joel Adamson
110090,Rick Aguilera
110093,Pat Ahearne
110106,Jose Alberro
110118,Scott Aldred
110119,Mike Aldrete
400139,Cory Aldridge
110129,Manny Alexander
110137,Andy Allanson
150210,Chad Allen
284569,Dusty Allen
110165,Jermaine Allensworth
110177,Beau Allred
110179,Carlos Almanzar
150356,Hector Almonte
110191,Garvin Alston
345593,Clemente Alvarez
134080,Gabe Alvarez
110204,Tavo Alvarez
110214,Rich Amaral
110215,Ruben Amaro
